id,HaveWorkedWith
85,HTML/CSS
85,Java
85,JavaScript
85,Node.js
85,TypeScript
85,Yarn
85,Angular
85,Express
85,React.js
85,Vue.js
85,AWS
85,DigitalOcean
85,MongoDB
85,MySQL
85,PostgreSQL
86,C
86,C#
86,C++
86,HTML/CSS
86,JavaScript
86,SQL
86,TypeScript
86,Docker
86,Git
86,ASP.NET
86,ASP.NET Core 
86,jQuery
86,Vue.js
86,IBM DB2
86,Microsoft SQL Server
86,MySQL
86,Oracle
86,PostgreSQL
86,Redis
86,SQLite
87,Assembly
87,C#
87,C++
87,HTML/CSS
87,JavaScript
87,Python
87,R
87,TypeScript
87,Git
87,Angular
87,Angular.js
87,jQuery
87,React.js
87,DigitalOcean
87,Microsoft SQL Server
87,PostgreSQL
87,SQLite
88,C
88,C++
88,JavaScript
88,Objective-C
88,Python
88,Swift
88,TypeScript
88,Docker
88,Git
88,Flask
88,React.js
88,AWS
88,DynamoDB
88,PostgreSQL
88,Redis
89,Bash/Shell
89,Go
89,HTML/CSS
89,JavaScript
89,Ruby
89,SQL
89,TypeScript
89,Chef
89,Docker
89,Git
89,Terraform
89,Angular
89,React.js
89,Ruby on Rails
89,AWS
89,DigitalOcean
89,Google Cloud Platform
89,MySQL
89,PostgreSQL
89,Redis
90,JavaScript
90,Python
90,Docker
90,Git
90,Flask
90,MariaDB
90,PostgreSQL
91,C#
91,HTML/CSS
91,SQL
91,TypeScript
91,Git
91,Angular
91,Angular.js
91,ASP.NET
91,ASP.NET Core 
91,jQuery
91,Microsoft Azure
91,MySQL
92,C#
92,HTML/CSS
92,JavaScript
92,Node.js
92,PHP
92,Python
92,SQL
92,TypeScript
92,VBA
92,Docker
92,Git
92,Angular
92,ASP.NET
92,ASP.NET Core 
92,jQuery
92,React.js
92,Microsoft Azure
92,MariaDB
92,Microsoft SQL Server
92,MySQL
93,C#
93,Docker
93,Unity 3D
93,Xamarin
93,ASP.NET
93,ASP.NET Core 
93,Microsoft Azure
93,Microsoft SQL Server
93,SQLite
94,C
94,C#
94,C++
94,HTML/CSS
94,JavaScript
94,Node.js
94,PHP
94,Python
94,R
94,SQL
94,TypeScript
94,Docker
94,Git
94,Yarn
94,Angular
94,Angular.js
94,Django
94,jQuery
94,Laravel
94,React.js
94,Symfony
94,AWS
94,DigitalOcean
94,Google Cloud Platform
94,Heroku
94,IBM Cloud or Watson
94,Firebase
94,MariaDB
94,Microsoft SQL Server
94,MongoDB
94,MySQL
94,SQLite
95,Ansible
95,Docker
95,Git
95,AWS
95,Microsoft SQL Server
96,Bash/Shell
96,HTML/CSS
96,JavaScript
96,Node.js
96,SQL
96,Docker
96,Git
96,Kubernetes
96,Yarn
96,Express
96,React.js
96,Couchbase
96,Elasticsearch
96,MariaDB
97,C#
97,HTML/CSS
97,Matlab
97,Python
97,R
97,SQL
97,Git
97,Django
97,Flask
97,AWS
97,Microsoft Azure
97,MySQL
97,PostgreSQL
97,SQLite
98,Bash/Shell
98,Java
98,JavaScript
98,Node.js
98,Python
98,TypeScript
98,Docker
98,Git
98,Kubernetes
98,Terraform
98,AWS
98,DynamoDB
98,MySQL
98,PostgreSQL
98,Redis
99,Bash/Shell
99,HTML/CSS
99,Java
99,JavaScript
99,Kotlin
99,Node.js
99,Objective-C
99,PHP
99,SQL
99,Swift
99,TypeScript
99,Docker
99,Git
99,Yarn
99,Express
99,React.js
99,AWS
99,MySQL
99,SQLite
100,Bash/Shell
100,C
100,C++
100,Docker
100,Git
100,DigitalOcean
100,Google Cloud Platform
101,C#
101,Java
101,Python
101,Docker
101,Git
101,Kubernetes
101,Xamarin
101,ASP.NET
101,ASP.NET Core 
101,FastAPI
101,Flask
101,React.js
101,Google Cloud Platform
101,PostgreSQL
102,Bash/Shell
102,Go
102,HTML/CSS
102,Java
102,JavaScript
102,Kotlin
102,Node.js
102,Python
102,Ruby
102,TypeScript
102,Ansible
102,Docker
102,Git
102,Kubernetes
102,Yarn
102,Express
102,FastAPI
102,Flask
102,Ruby on Rails
102,AWS
102,DigitalOcean
102,Microsoft Azure
102,Elasticsearch
102,MariaDB
102,MongoDB
102,MySQL
102,Oracle
102,PostgreSQL
102,Redis
103,Haskell
103,HTML/CSS
103,JavaScript
103,Node.js
103,TypeScript
103,Chef
103,Docker
103,Git
103,Yarn
103,Express
103,Gatsby
103,React.js
103,AWS
103,Google Cloud Platform
103,PostgreSQL
103,Redis
104,C#
104,Dart
104,HTML/CSS
104,JavaScript
104,Node.js
104,SQL
104,TypeScript
104,Git
104,ASP.NET
104,ASP.NET Core 
104,jQuery
104,Vue.js
104,IBM DB2
104,Microsoft SQL Server
105,Java
105,Kotlin
105,Git
105,SQLite
106,Bash/Shell
106,HTML/CSS
106,Java
106,JavaScript
106,Kotlin
106,Node.js
106,SQL
106,TypeScript
106,Docker
106,Git
106,Kubernetes
106,Angular
106,Spring
106,Vue.js
106,Elasticsearch
106,MariaDB
106,MongoDB
106,MySQL
106,PostgreSQL
106,SQLite
107,Bash/Shell
107,Groovy
107,HTML/CSS
107,Java
107,JavaScript
107,Kotlin
107,Node.js
107,PHP
107,Python
107,Ruby
107,SQL
107,TypeScript
107,Docker
107,Git
107,Terraform
107,Angular.js
107,jQuery
107,React.js
107,Ruby on Rails
107,Spring
107,Vue.js
107,AWS
107,DigitalOcean
107,DynamoDB
107,Elasticsearch
107,MongoDB
107,MySQL
107,PostgreSQL
107,Redis
108,Dart
108,HTML/CSS
108,JavaScript
108,Node.js
108,PHP
108,Docker
108,Git
108,Vue.js
108,Google Cloud Platform
108,MariaDB
108,Microsoft SQL Server
108,MySQL
108,SQLite
109,HTML/CSS
109,JavaScript
109,Node.js
109,Rust
109,TypeScript
109,Docker
109,Git
109,Unity 3D
109,Express
109,React.js
109,AWS
109,DigitalOcean
109,MySQL
109,PostgreSQL
110,Go
110,HTML/CSS
110,JavaScript
110,Python
110,SQL
110,TypeScript
110,Ansible
110,Docker
110,Git
110,Kubernetes
110,Terraform
110,Vue.js
110,AWS
110,Elasticsearch
110,PostgreSQL
110,Redis
111,C#
111,C++
111,Docker
111,Angular
111,ASP.NET
111,ASP.NET Core 
111,Google Cloud Platform
111,Microsoft Azure
111,Microsoft SQL Server
111,MongoDB
111,PostgreSQL
111,Redis
112,Bash/Shell
112,Objective-C
112,Swift
112,Git
112,Microsoft Azure
112,SQLite
113,C
113,C#
113,C++
113,HTML/CSS
113,Node.js
113,SQL
113,Git
113,Kubernetes
113,Xamarin
113,Microsoft Azure
113,Oracle
114,C#
114,Git
115,Bash/Shell
115,HTML/CSS
115,JavaScript
115,Python
115,SQL
115,Git
115,Django
115,React.js
115,AWS
115,IBM DB2
115,Microsoft SQL Server
115,SQLite
116,Python
116,SQL
116,Git
116,Flask
116,AWS
116,PostgreSQL
116,SQLite
117,R
118,C#
118,HTML/CSS
118,Java
118,SQL
118,VBA
118,ASP.NET
118,ASP.NET Core 
118,Microsoft Azure
118,Microsoft SQL Server
118,MySQL
119,HTML/CSS
119,Java
119,PHP
120,HTML/CSS
120,JavaScript
120,Node.js
120,TypeScript
120,Docker
120,Git
120,React.js
120,Vue.js
120,AWS
120,Google Cloud Platform
120,Microsoft Azure
121,C#
121,HTML/CSS
121,Java
121,JavaScript
121,Node.js
121,SQL
121,TypeScript
121,Git
121,jQuery
121,Vue.js
121,Microsoft SQL Server
121,Redis
122,Bash/Shell
122,C
122,Java
122,Kotlin
122,Perl
122,PowerShell
122,Python
122,Docker
122,Git
122,Kubernetes
122,IBM Cloud or Watson
123,HTML/CSS
123,JavaScript
123,Node.js
123,Objective-C
123,Swift
123,TypeScript
123,Git
123,Gatsby
123,React.js
123,Google Cloud Platform
123,Microsoft Azure
123,Firebase
123,SQLite
124,Bash/Shell
124,C
124,C++
124,Java
124,JavaScript
124,Node.js
124,PHP
124,Python
124,Ruby
124,SQL
124,TypeScript
124,Ansible
124,Docker
124,Git
124,Yarn
124,Angular
124,Angular.js
124,Drupal
124,Express
124,jQuery
124,Laravel
124,Symfony
124,MariaDB
124,MySQL
124,SQLite
125,C#
125,HTML/CSS
125,SQL
125,TypeScript
125,Docker
125,Git
125,Kubernetes
125,Terraform
125,Yarn
125,ASP.NET Core 
125,React.js
125,Microsoft Azure
125,Microsoft SQL Server
126,Bash/Shell
126,Python
126,Git
126,Flask
126,Vue.js
127,HTML/CSS
127,JavaScript
127,Node.js
127,PHP
127,SQL
127,TypeScript
127,Docker
127,Git
127,Unreal Engine
127,Express
127,Laravel
127,Vue.js
127,Heroku
127,MariaDB
127,MongoDB
127,MySQL
127,PostgreSQL
127,SQLite
128,HTML/CSS
128,JavaScript
128,Node.js
128,PHP
128,SQL
128,TypeScript
128,Docker
128,Angular
128,Express
128,React.js
128,Symfony
128,Microsoft SQL Server
128,MySQL
128,Oracle
128,PostgreSQL
129,C
129,HTML/CSS
129,JavaScript
129,Node.js
129,TypeScript
129,Git
129,React.js
129,Microsoft Azure
130,C#
130,HTML/CSS
130,JavaScript
130,SQL
130,VBA
130,Git
130,ASP.NET
130,ASP.NET Core 
130,jQuery
130,Microsoft SQL Server
131,Bash/Shell
131,Go
131,HTML/CSS
131,JavaScript
131,SQL
131,TypeScript
131,Angular
131,PostgreSQL
132,Bash/Shell
132,C
132,C++
132,JavaScript
132,Python
132,Git
133,Java
133,Scala
133,Docker
133,Git
133,Kubernetes
133,AWS
133,Couchbase
133,Elasticsearch
133,Microsoft SQL Server
134,C#
134,Dart
134,Go
134,Java
134,JavaScript
134,Matlab
134,SQL
134,Xamarin
134,Angular
134,Angular.js
134,ASP.NET
134,jQuery
134,React.js
134,AWS
134,IBM Cloud or Watson
134,Microsoft Azure
134,Microsoft SQL Server
135,Bash/Shell
135,Perl
135,PowerShell
135,VBA
135,Docker
135,Git
135,AWS
136,Bash/Shell
136,HTML/CSS
136,Java
136,JavaScript
136,Python
136,SQL
136,Docker
136,Git
136,Angular.js
136,ASP.NET
136,jQuery
136,Spring
